id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,jumlah_bumil,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,K4,77783,ORANG,2005
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,K4,48235,ORANG,2005
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,K4,42543,ORANG,2005
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,K4,93154,ORANG,2005
5,32,JAWA BARAT,3205,KABUPATEN GARUT,K4,59947,ORANG,2005
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,K4,29764,ORANG,2005
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,K4,29559,ORANG,2005
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,K4,22694,ORANG,2005
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,K4,43192,ORANG,2005
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,K4,20484,ORANG,2005
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,K4,19929,ORANG,2005
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,K4,36469,ORANG,2005
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,K4,30441,ORANG,2005
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,K4,16302,ORANG,2005
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,K4,43435,ORANG,2005
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,K4,39067,ORANG,2005
17,32,JAWA BARAT,3271,KOTA BOGOR,K4,15931,ORANG,2005
18,32,JAWA BARAT,3272,KOTA SUKABUMI,K4,5525,ORANG,2005
19,32,JAWA BARAT,3273,KOTA BANDUNG,K4,44214,ORANG,2005
20,32,JAWA BARAT,3274,KOTA CIREBON,K4,4254,ORANG,2005
21,32,JAWA BARAT,3275,KOTA BEKASI,K4,37792,ORANG,2005
22,32,JAWA BARAT,3276,KOTA DEPOK,K4,33397,ORANG,2005
23,32,JAWA BARAT,3277,KOTA CIMAHI,K4,10882,ORANG,2005
24,32,JAWA BARAT,3278,KOTA TASIKMALAYA,K4,12933,ORANG,2005
25,32,JAWA BARAT,3279,KOTA BANJAR,K4,3374,ORANG,2005
26,32,JAWA BARAT,3201,KABUPATEN BOGOR,K1,85989,ORANG,2006
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,K4,71920,ORANG,2006
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,K1,57943,ORANG,2006
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,K4,53978,ORANG,2006
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,K1,43227,ORANG,2006
31,32,JAWA BARAT,3203,KABUPATEN CIANJUR,K4,42405,ORANG,2006
32,32,JAWA BARAT,3204,KABUPATEN BANDUNG,K1,89483,ORANG,2006
33,32,JAWA BARAT,3204,KABUPATEN BANDUNG,K4,81286,ORANG,2006
34,32,JAWA BARAT,3205,KABUPATEN GARUT,K1,48690,ORANG,2006
35,32,JAWA BARAT,3205,KABUPATEN GARUT,K4,43238,ORANG,2006
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,K1,35476,ORANG,2006
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,K4,31303,ORANG,2006
38,32,JAWA BARAT,3207,KABUPATEN CIAMIS,K1,30647,ORANG,2006
39,32,JAWA BARAT,3207,KABUPATEN CIAMIS,K4,26670,ORANG,2006
40,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,K1,25376,ORANG,2006
41,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,K4,23627,ORANG,2006
42,32,JAWA BARAT,3209,KABUPATEN CIREBON,K1,51362,ORANG,2006
43,32,JAWA BARAT,3209,KABUPATEN CIREBON,K4,51362,ORANG,2006
44,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,K1,17471,ORANG,2006
45,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,K4,16330,ORANG,2006
46,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,K1,21675,ORANG,2006
47,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,K4,19674,ORANG,2006
48,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,K1,30656,ORANG,2006
49,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,K4,28652,ORANG,2006
50,32,JAWA BARAT,3213,KABUPATEN SUBANG,K1,32846,ORANG,2006
51,32,JAWA BARAT,3213,KABUPATEN SUBANG,K4,31534,ORANG,2006
52,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,K1,18271,ORANG,2006
53,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,K4,16550,ORANG,2006
54,32,JAWA BARAT,3215,KABUPATEN KARAWANG,K1,45888,ORANG,2006
55,32,JAWA BARAT,3215,KABUPATEN KARAWANG,K4,43435,ORANG,2006
56,32,JAWA BARAT,3216,KABUPATEN BEKASI,K1,41622,ORANG,2006
57,32,JAWA BARAT,3216,KABUPATEN BEKASI,K4,37700,ORANG,2006
58,32,JAWA BARAT,3271,KOTA BOGOR,K1,16644,ORANG,2006
59,32,JAWA BARAT,3271,KOTA BOGOR,K4,16030,ORANG,2006
60,32,JAWA BARAT,3272,KOTA SUKABUMI,K1,6550,ORANG,2006
61,32,JAWA BARAT,3272,KOTA SUKABUMI,K4,6091,ORANG,2006
62,32,JAWA BARAT,3273,KOTA BANDUNG,K1,39308,ORANG,2006
63,32,JAWA BARAT,3273,KOTA BANDUNG,K4,37999,ORANG,2006
64,32,JAWA BARAT,3274,KOTA CIREBON,K1,6006,ORANG,2006
65,32,JAWA BARAT,3274,KOTA CIREBON,K4,4763,ORANG,2006
66,32,JAWA BARAT,3275,KOTA BEKASI,K1,40966,ORANG,2006
67,32,JAWA BARAT,3275,KOTA BEKASI,K4,38446,ORANG,2006
68,32,JAWA BARAT,3276,KOTA DEPOK,K1,26672,ORANG,2006
69,32,JAWA BARAT,3276,KOTA DEPOK,K4,25822,ORANG,2006
70,32,JAWA BARAT,3277,KOTA CIMAHI,K1,10233,ORANG,2006
71,32,JAWA BARAT,3277,KOTA CIMAHI,K4,9621,ORANG,2006
72,32,JAWA BARAT,3278,KOTA TASIKMALAYA,K1,13824,ORANG,2006
73,32,JAWA BARAT,3278,KOTA TASIKMALAYA,K4,13507,ORANG,2006
74,32,JAWA BARAT,3279,KOTA BANJAR,K1,3827,ORANG,2006
75,32,JAWA BARAT,3279,KOTA BANJAR,K4,3409,ORANG,2006
76,32,JAWA BARAT,3201,KABUPATEN BOGOR,K1,93477,ORANG,2007
77,32,JAWA BARAT,3201,KABUPATEN BOGOR,K4,80552,ORANG,2007
78,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,K1,58797,ORANG,2007
79,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,K4,51554,ORANG,2007
80,32,JAWA BARAT,3203,KABUPATEN CIANJUR,K1,47932,ORANG,2007
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,K4,43390,ORANG,2007
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,K1,91676,ORANG,2007
83,32,JAWA BARAT,3204,KABUPATEN BANDUNG,K4,82538,ORANG,2007
84,32,JAWA BARAT,3205,KABUPATEN GARUT,K1,49102,ORANG,2007
85,32,JAWA BARAT,3205,KABUPATEN GARUT,K4,48182,ORANG,2007
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,K1,35680,ORANG,2007
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,K4,32179,ORANG,2007
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,K1,32686,ORANG,2007
89,32,JAWA BARAT,3207,KABUPATEN CIAMIS,K4,28070,ORANG,2007
90,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,K1,25899,ORANG,2007
91,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,K4,23976,ORANG,2007
92,32,JAWA BARAT,3209,KABUPATEN CIREBON,K1,52865,ORANG,2007
93,32,JAWA BARAT,3209,KABUPATEN CIREBON,K4,48315,ORANG,2007
94,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,K1,21296,ORANG,2007
95,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,K4,16493,ORANG,2007
96,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,K1,22891,ORANG,2007
97,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,K4,20621,ORANG,2007
98,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,K1,33063,ORANG,2007
99,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,K4,29102,ORANG,2007
100,32,JAWA BARAT,3213,KABUPATEN SUBANG,K1,35516,ORANG,2007
101,32,JAWA BARAT,3213,KABUPATEN SUBANG,K4,32118,ORANG,2007
102,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,K1,19282,ORANG,2007
